"","port_origin","voyage_id","ship_name","place_of_purchase","port_arrival","year_arrival","n_slaves_arrived","captains_name","country","lat","lng"
"2160","Bahia","50505","NS da Piedade S José e Almas",NA,NA,"1715",NA,"Melo, Cipriano Oliveira de",NA,NA,NA
"2161","Bahia","50506","NS do Rosario S Antonio e Almas","Costa da Mina","Bahia","1714",NA,"Porto, Amaro da Silva",NA,NA,NA
"2162","Bahia","50507","NS do Rosario S Antônio e Almas","Costa da Mina","Bahia","1715",NA,"Oliveira, Gabriel Ribeiro de",NA,NA,NA
"2163","Bahia","50510","NS da Piedade das Chagas S Antônio e Almas","Jacquin","Bahia","1726",NA,"Souza, Bernardino de",NA,NA,NA
"2164","Bahia","50512","Santiago e Alma (a) NS da Piedade e S Félix","Costa da Mina","Bahia","1727",NA,"Maciel, Manoel Dias",NA,NA,NA
"2165","Bahia","50516",NA,"Costa da Mina","Bahia","1726",NA,"Almeida, José Lisboa",NA,NA,NA
"2166","Bahia","50517","Santissimo Sacramento Santana e Almas","Costa da Mina","Bahia","1726",NA,"Maciel, João Pereira",NA,NA,NA
"2167","Bahia","50518",NA,"Africa.","Bahia","1726",NA,NA,NA,NA,NA
"2168","Bahia","50520","NS do Tejo e Barroquinha","Jacquin","Bahia","1727",NA,"Costa, João Ferreira da",NA,NA,NA
"2169","Bahia","50521","NS do Rosario S Antônio e Almas","Costa da Mina","Bahia","1727",NA,"Cabral, Manoel Gomes",NA,NA,NA
"2170","Bahia","50522","NS da Piedade das Chagas S Antônio e Almas","Costa da Mina","Bahia","1727",NA,"Sena, Bernardino de<br/> Lisboa, Maurício Moreira",NA,NA,NA
"2171","Bahia","50524","S João Batista e NS Piedade","Whydah","Bahia","1728",NA,"Cunha, Félix Dias da<br/> Pereira, Luís Nunes",NA,NA,NA
"2172","Bahia","50526","NS do Rosario S Antônio e Almas","Costa da Mina","Bahia","1727",NA,"Coimbra, Maurício Franco",NA,NA,NA
"2173","Bahia","50527",NA,"Africa.","Bahia","1727",NA,NA,NA,NA,NA
"2174","Bahia","50528","S João Batista","Costa da Mina","Bahia","1728",NA,"Belém, José de Oliveira",NA,NA,NA
"2175","Bahia","50529","NS da Conceição S Antônio da Mouraria e Almas","Costa da Mina","Bahia","1728",NA,"Brito, Antônio Nunes de",NA,NA,NA
"2176","Bahia","50530","NS do Monte e Santiago","Calabar","Bahia","1727",NA,"Costa, José Ferreira da",NA,NA,NA
"2177","Bahia","50532","NS da Conceição e Esperança","Costa da Mina","Bahia","1728",NA,"Freitas, Veríssimo de",NA,NA,NA
"2178","Bahia","50536","Santiago e Almas","Costa da Mina","Bahia","1728",NA,"Maciel, Manoel Dias",NA,NA,NA
